epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1881.87,0.40427,0.15794,0.00206,0.99273,0.9966,0.99493,0.98101,0.24816,0.09358,0.00142,0.0011882,0.0011882,0.0011882
43,1912.06,0.39252,0.18023,0.00202,0.99732,0.9854,0.99493,0.97708,0.24944,0.1026,0.0014,0.0011684,0.0011684,0.0011684
44,1942.55,0.3835,0.16929,0.00208,1,0.99915,0.995,0.98185,0.24198,0.09155,0.00142,0.0011486,0.0011486,0.0011486
45,1973.36,0.40527,0.17017,0.00203,0.99112,1,0.99493,0.97537,0.27288,0.09507,0.00152,0.0011288,0.0011288,0.0011288
46,2003.59,0.39285,0.1619,0.00199,1,0.99767,0.995,0.98869,0.23774,0.08781,0.00139,0.001109,0.001109,0.001109
47,2036.69,0.39174,0.16717,0.00204,0.99186,1,0.99478,0.98184,0.27713,0.10683,0.00165,0.0010892,0.0010892,0.0010892
48,2067.15,0.38968,0.15708,0.00212,0.98065,0.9927,0.99478,0.98703,0.23136,0.10635,0.00139,0.0010694,0.0010694,0.0010694
49,2098.18,0.35524,0.15168,0.00185,0.98531,0.97901,0.9945,0.98368,0.24326,0.11702,0.00139,0.0010496,0.0010496,0.0010496
50,2128.76,0.37685,0.18819,0.00194,0.97851,0.99702,0.99249,0.98633,0.23557,0.11349,0.00144,0.0010298,0.0010298,0.0010298
51,2159.17,0.3629,0.16856,0.00183,0.99946,1,0.995,0.98269,0.22482,0.08884,0.00124,0.00101,0.00101,0.00101
